block,account,fees,src_port,src_channel
8398223,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,76822uluna,07-tendermint-2,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398228,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,47196uluna,07-tendermint-60,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398233,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,50613uluna,07-tendermint-11,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398240,terra1ks0qeq9vyt9l7vgasaajd49ff0k8klurl7rzhn,5107uluna,07-tendermint-11,Relayed by Cosmos Spaces Team ☮️💜⚛️ | hermes 1.7.4+ab732666f (https://hermes.informal.systems)
8398241,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,46988uluna,07-tendermint-11,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398249,terra1ks0qeq9vyt9l7vgasaajd49ff0k8klurl7rzhn,5107uluna,07-tendermint-11,Relayed by Cosmos Spaces Team ☮️💜⚛️ | hermes 1.7.4+ab732666f (https://hermes.informal.systems)
8398255,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,76465uluna,07-tendermint-2,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398258,terra1l267dmlmprhu4p5aqslf50f495vjqlg3mssyst,41869uluna,07-tendermint-105,Relayed for you by Cros Nest. | hermes 1.7.4+db47ff678 (https://hermes.informal.systems)
8398262,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,53806uluna,07-tendermint-7,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398274,terra1yghndrffay859ma2ue4pa2cltw640vtazaedaa,34481uluna,07-tendermint-274,relayed by CryptoCrew Validators | hermes 1.7.4+1946d944 (https://hermes.informal.systems)
8398274,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,76628uluna,07-tendermint-2,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398298,terra1l267dmlmprhu4p5aqslf50f495vjqlg3mssyst,49346uluna,07-tendermint-105,Relayed for you by Cros Nest. | hermes 1.7.4+db47ff678 (https://hermes.informal.systems)
8398299,terra13qwh36rju87x7u9wndj88gftd83ele5v9kh90l,55805uluna,07-tendermint-226,hermes 1.3.0+d3ad2eb (https://hermes.informal.systems)
8398314,terra1l267dmlmprhu4p5aqslf50f495vjqlg3mssyst,47411uluna,07-tendermint-108,Relayed for you by Cros Nest. | hermes 1.7.4+db47ff678 (https://hermes.informal.systems)
8398315,terra1l267dmlmprhu4p5aqslf50f495vjqlg3mssyst,47411uluna,07-tendermint-108,Relayed for you by Cros Nest. | hermes 1.7.4+db47ff678 (https://hermes.informal.systems)
8398326,terra13qwh36rju87x7u9wndj88gftd83ele5v9kh90l,37220uluna,07-tendermint-226,hermes 1.3.0+d3ad2eb (https://hermes.informal.systems)
8398327,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,76028uluna,07-tendermint-2,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398333,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,46885uluna,07-tendermint-7,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398374,terra1l267dmlmprhu4p5aqslf50f495vjqlg3mssyst,49535uluna,07-tendermint-105,Relayed for you by Cros Nest. | hermes 1.7.4+db47ff678 (https://hermes.informal.systems)
8398412,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,78682uluna,07-tendermint-2,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398413,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,78682uluna,07-tendermint-2,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
8398414,terra1zr5a4asqa7l0994lypjrf8zrzafdxtv6ev9v9l,73369uluna,07-tendermint-7,👾 Relayed by cosmosrescue.com | Securing the Cosmos | rly(2.4.2)
8398423,terra1hhzf9u376mg8zcuvx3jsls7t805kzcrs8055e7,72118uluna,07-tendermint-2,SynergyNodes.com Relayer | hermes 1.7.3+e529d255 (https://hermes.informal.systems)
